set_id,ELEOMA,Car_Weight,Car_Type,CarProdYear
0000000423,DIESEL,3.5,일반탑차,2016
0000000424,DIESEL,5,일반탑차,2006
0000000425,DIESEL,5,일반탑차,2011
0000000426,DIESEL,5,일반탑차,2004
0000000427,DIESEL,5,일반탑차,2010
0000000428,DIESEL,14,조르다,2011
0000000429,DIESEL,5,일반탑차,2008
0000000430,DIESEL,5,일반탑차,2006
0000000431,DIESEL,14,조르다,2005
0000000432,DIESEL,3.5,일반탑차,2014
0000000433,DIESEL,3.5,일반탑차,2009
0000000434,DIESEL,5,조르다,2009
0000000435,DIESEL,5,일반탑차,2011
0000000436,DIESEL,5,일반탑차,2011
0000000437,DIESEL,3.5,일반탑차,2014
0000000438,DIESEL,5,일반탑차,2005
0000000440,DIESEL,5,일반탑차,2005
0000000441,DIESEL,5,일반탑차,2010
0000000442,DIESEL,5,일반탑차,2011
0000000443,DIESEL,5,일반탑차,2005
0000000444,DIESEL,3.5,일반탑차,2011
0000000445,DIESEL,5,일반탑차,2009
0000000446,DIESEL,5,일반탑차,2005
0000000447,DIESEL,3.5,일반탑차,2009
0000000448,DIESEL,5,일반탑차,2008
0000000449,DIESEL,5,일반탑차,2009
0000000450,DIESEL,3.5,일반탑차,2010
0000000451,DIESEL,5,일반탑차,2010
0000000452,DIESEL,5,일반탑차,2010
0000000453,DIESEL,5,일반탑차,2008
0000000454,DIESEL,5,조르다,2010
0000000455,DIESEL,5,일반탑차,2006
0000000456,DIESEL,5,일반탑차,2008
0000000457,DIESEL,5,일반탑차,2010
0000000458,DIESEL,5,일반탑차,2010
0000000459,DIESEL,5,일반탑차,2005
0000000460,DIESEL,5,일반탑차,2011
0000000461,DIESEL,5,일반탑차,2010
0000000463,DIESEL,5,일반탑차,2009
0000000464,DIESEL,5,일반탑차,2008
0000000465,DIESEL,3.5,일반탑차,2012
0000000466,DIESEL,5,일반탑차,2009
0000000468,DIESEL,2.5,일반탑차,2007
0000000469,DIESEL,4.5,조르다,2011
0000000470,DIESEL,5,일반탑차,2011
0000000471,DIESEL,3.5,일반탑차,2007
0000000472,DIESEL,5,일반탑차,2010
0000000473,DIESEL,5,일반탑차,2004
0000000474,DIESEL,3.5,일반탑차,2006
0000000475,DIESEL,4.5,일반탑차,2014
0000000476,DIESEL,14,일반탑차,2009
0000000477,DIESEL,5,일반탑차,2011
0000000478,DIESEL,5,일반탑차,2007
0000000479,DIESEL,5,일반탑차,2011
0000000480,DIESEL,5,일반탑차,2010
0000000481,DIESEL,5,일반탑차,2015
0000000482,DIESEL,5,일반탑차,2005
0000000483,DIESEL,5,일반탑차,2009
0000000484,DIESEL,14,조르다,2005
0000000485,DIESEL,14,조르다,2010
0000000486,DIESEL,5,일반탑차,2012
0000000487,DIESEL,5,일반탑차,2005
0000000488,DIESEL,5,일반탑차,2011
0000000489,DIESEL,5,일반탑차,2005
0000000490,DIESEL,5,일반탑차,2014
0000000491,DIESEL,5,일반탑차,2004
0000000492,DIESEL,5,일반탑차,2006
0000000494,DIESEL,5,일반탑차,2011
0000000495,DIESEL,3.5,일반탑차,2010
0000000496,DIESEL,5,일반탑차,2010
0000000497,DIESEL,5,일반탑차,2006
0000000498,DIESEL,5,일반탑차,2005
0000000499,DIESEL,4.5,일반탑차,2015
0000000500,DIESEL,5,일반탑차,2006
0000000501,DIESEL,5,일반탑차,2011
0000000502,DIESEL,5,일반탑차,2003
0000000503,DIESEL,5,일반탑차,2013
0000000504,DIESEL,5,일반탑차,2011
0000000505,DIESEL,5,일반탑차,2009
0000000506,DIESEL,5,일반탑차,2003
0000000507,DIESEL,5,일반탑차,2017
0000000508,DIESEL,5,일반탑차,2011
0000000509,DIESEL,3.5,일반탑차,2017
0000000510,DIESEL,5,일반탑차,2009
0000000511,DIESEL,5,일반탑차,2004
0000000512,DIESEL,5,일반탑차,2006
0000000513,DIESEL,5,일반탑차,2012
0000000514,DIESEL,5,일반탑차,2008
0000000515,DIESEL,3.5,일반탑차,2010
0000000516,DIESEL,5,일반탑차,2006
0000000517,DIESEL,5,일반탑차,2011
0000000518,DIESEL,5,일반탑차,2009
0000000519,DIESEL,5,일반탑차,2007
0000000520,DIESEL,5,일반탑차,2005
0000000521,DIESEL,5,일반탑차,2005
0000000522,DIESEL,5,일반탑차,2009
0000000523,DIESEL,5,일반탑차,2011
0000000524,DIESEL,4.5,조르다,2010
0000000525,DIESEL,5,일반탑차,2001
0000000526,DIESEL,5,일반탑차,2002
0000000527,DIESEL,5,일반탑차,2005
0000000528,DIESEL,5,일반탑차,2012
0000000529,DIESEL,5,일반탑차,2010
0000000530,DIESEL,5,일반탑차,2009
0000000531,DIESEL,5,일반탑차,2009
